,LAML
hsa-mir-103a-1,0.907618087048867
hsa-mir-103a-2,0.871851397987593
hsa-mir-125a,0.821603705998302
hsa-mir-126,0.284617758526917
hsa-mir-1307,0.857047439707398
hsa-mir-130a,0.76404587145749
hsa-mir-146a,0.315502487914663
hsa-mir-146b,0.650161531616028
hsa-mir-151a,0.161355594208798
hsa-mir-151b,0.238918591917096
hsa-mir-17,0.00155996315231639
hsa-mir-181a-2,0.00709478748072231
hsa-mir-181d,0.186278530817763
hsa-mir-186,0.0122717752966399
hsa-mir-188,0.389235219701761
hsa-mir-19b-1,0.00200745805508849
hsa-mir-19b-2,0.00135786920412426
hsa-mir-20b,9.61915935887506e-05
hsa-mir-30c-1,0.277945987642612
hsa-mir-30c-2,0.289273304327319
hsa-mir-3151,0.291984345459644
hsa-mir-3665,0.319322723864421
hsa-mir-576,0.023736607992604
hsa-mir-582,0.0308232412529773
hsa-mir-589,0.74676351559605
hsa-mir-6503,0.688663619184775
hsa-mir-6718,0.0892686579886056
hsa-mir-8085,0.319322723864421
hsa-mir-9-1,0.240458640723926
hsa-mir-9-2,0.232453293120354
hsa-mir-9-3,0.28105929055798
hsa-mir-92a-1,0.471106139858171
hsa-mir-99b,0.672718067020501
